Disaster,State,County,City,Zip Code,Valid Registrations,Total Inspected,Inspected with No Damage,Total with Moderate Damage,Total with Major Damage,Total with Substantial Damage,Approved for FEMA Assistance,Total Approved IHP Amount,Repair/Replace Amount,Rental Amount,Other Needs Amount,"Approved between $1 and $10,000","Approved between $10,001 and $25,000","Approved between $25,001 and Max",Total Max Grants
4447,OH,Mahoning (County),YOUNGSTOWN,44510,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0
4447,OH,Mahoning (County),YOUNGSTOWN,44511,33,32,28,4,0,0,8,5120,0,1370,3750,8,0,0,0
4447,OH,Mahoning (County),YOUNGSTOWN,44512,57,47,32,15,0,0,21,25677,0,13610,12067,21,0,0,0
4447,OH,Mahoning (County),YOUNGSTOWN,44514,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0
4447,OH,Mahoning (County),YOUNGSTOWN,44515,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0
4447,OH,Mercer (County),CELINA,45822,10,7,2,2,3,0,5,6304,0,6304,0,5,0,0,0
4447,OH,Mercer (County),MENDON,45862,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
4447,OH,Miami (County),BROOKVILLE,45309,1,1,1,0,0,0,1,270,0,0,270,1,0,0,0
4447,OH,Miami (County),LAURA,45337,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0
4447,OH,Miami (County),LOWER SALEM,45745,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
4447,OH,Miami (County),LUDLOW FALLS,45339,4,3,2,0,1,0,2,8348,0,3304,5044,2,0,0,0
4447,OH,Miami (County),PIQUA,45356,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4447,OH,Miami (County),TIPP CITY,45371,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
4447,OH,Miami (County),WEST MILTON,45383,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0
4447,OH,Montgomery (County),BROOKVILLE,45309,28,16,7,5,4,0,10,37101,0,19109,17993,10,0,0,0
4447,OH,Montgomery (County),CENTERVILLE,45458,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
4447,OH,Montgomery (County),CINCINNATI,45239,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4447,OH,Montgomery (County),CLAYTON,45315,21,17,14,2,1,0,6,5789,0,3304,2485,6,0,0,0
4447,OH,Montgomery (County),DAYTON,45390,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
4447,OH,Montgomery (County),DAYTON,45402,9,4,4,0,0,0,0,0,0,0,0,0,0,0,0
4447,OH,Montgomery (County),DAYTON,45403,42,31,29,1,1,0,5,27511,0,1389,26122,4,0,1,0
4447,OH,Montgomery (County),DAYTON,45404,178,140,88,43,9,0,61,179069,0,85877,93192,59,2,0,0
4447,OH,Montgomery (County),DAYTON,45405,331,185,107,42,36,0,82,219652,0,125085,94567,81,1,0,0
4447,OH,Montgomery (County),DAYTON,45406,39,26,26,0,0,0,0,0,0,0,0,0,0,0,0
4447,OH,Montgomery (County),DAYTON,45407,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
4447,OH,Montgomery (County),DAYTON,45410,7,4,4,0,0,0,0,0,0,0,0,0,0,0,0
4447,OH,Montgomery (County),DAYTON,45414,317,245,143,83,19,0,133,312478,0,182426,130051,133,0,0,0
4447,OH,Montgomery (County),DAYTON,45415,115,57,46,9,2,0,18,46916,0,15656,31260,18,0,0,0
4447,OH,Montgomery (County),DAYTON,45416,54,34,31,3,0,0,2,2719,0,1198,1521,2,0,0,0
4447,OH,Montgomery (County),DAYTON,45417,29,19,18,1,0,0,1,2012,0,1198,814,1,0,0,0
